0⃣   0, keycap, zero
🔍   glass, tool, science, lab, magnifying, search, left-pointing magnifying glass
🥃   glass, shot, tumbler, whisky, whiskey, scotch
📦   box, communication, delivery, package, parcel, shipping
📤   box, mail, email, letter, sent, outbox, outbox tray, tray
📥   box, receive, mail, email, letter, tray, inbox, inbox zero, inbox tray
🎁   box, bow, birthday, celebration, christmas, gift, present, wrapped, surprise, wrapped gift
☑   box, check, done, tick, ballot, checked off
🗳   box, ballot, ballot box with ballot
🍿   popcorn, movie
📽   movie, video, cinema, film, film projector, projector
🎬   movie, action, clapper board, clapper
🎥   movie, record, cinema, film, camera, hollywood, bollywood, movie camera
🎦   movie, cinema, film, camera
🎞   movie, cinema, film, film frames, frames
🍍   tropical, fruit, colada, pina, pineapple
🍄   fungus, mario, mushroom, toadstool
🍇   fruit, dionyses, grape, grapes
🍌   fruit, banana, potassium
🍏   fruit, apple, green, green apple
🍈   fruit, cantaloupe, melon
🍉   fruit, watermelon
🍊   fruit, citrus, nectarine, orange, tangerine, vitamin c
🍋   fruit, citrus, lemon, sour
🍐   fruit, pear
🍑   fruit, peach
🍒   fruit, cherry, cherries
🍓   fruit, berry, strawberry
🍆   vegetable, aubergine, eggplant
☘   irish, plant, shamrock
🍁   leaf, maple, maple leaf, falling
🍂   leaf, falling, autumn, fall, fallen leaf
🍃   leaf, leaf fluttering in wind, blow, flutter, wind
🌿   leaf, plant, herb
🌷   plant, blossom, flower, growth, tulip
🌾   plant, grain, rice, grains, sheaf of rice
🌼   plant, blossom, flower, buttercup, dandelion
🌻   plant, sun, flower, outdoors, sunflower
🌺   plant, flower, hibiscus
🏵   plant, rosette
💐   plant, flower, date, love, romance, anniversary, birthday, bouquet
🎐   wind, bell, wind chime, chime
🌳   green, tree, deciduous, forest, habitat, deciduous tree, shedding
🧡   orange, orange heart
🧀   cheese, cheese wedge
🍖   bone, meat, meat on bone
🥩   meat, cut of meat, chop, lambchop, porkchop, steak, red meat
🦃   turkey, gobble, thanksgiving
🥡   chopsticks, takeout box, oyster pail, food delivery
🥢   chopsticks, hashi, jeotgarak, kuaizi
♨   steaming, hot, hotsprings, springs, hot springs
🥪   bread, sandwich
⛹‍♀   ball
🏈   ball, sport, football, american football, american, super bowl
⚾   ball, sport, baseball
⚽   ball, sport, football, futbol, messi, ronaldo, soccer, soccer ball
🏀   ball, sport, basketball, hoop
🏉   ball, sport, football, rugby, rugby football
🏌   ball, golf, driving range, person golfing, man golfing
⛹   ball, basketball, person bouncing ball, man bouncing ball, basketball player
🏌‍♀   ball
🧚‍♀️   woman fairy, fairy, wings, Titania
🧚‍♂️   fairy, wings, man fairy, Oberon, Puck
🏇   horse, racehorse, racing, triple crown, riding, sport, jockey, horse racing
🎠   horse, entertainment, carousel, carousel horse
🐿   chipmunk
🕊   bird, peace, fly, dove
🏜   desert
🏝   desert, desert island, island
🏡   garden, building, country home, home, house, ranch, settle down, simple home, suburban, suburbia, where the heart is, house with garden
🗓   spiral, calendar, pad, spiral calendar
🥤   water, cup with straw, juice, soda, malt, soft drink
🚱   water, prohibited, dry, non-potable water, non-drinking, non-potable
🚿   water, shower
🚾   water, closet, lavatory, restroom, wc, water closet
⚜   knights, fleur-de-lis
🏎   racing, car, zoom, racing car
🏍   racing, motorcycle
🌧   cloud, rain, cloud with rain, weather
🌦   cloud, rain, weather, sun, sun behind rain cloud
🌥   cloud, weather, sun, sun behind large cloud
🌤   cloud, weather, sun, sun behind small cloud
🌫   cloud, weather, fog
🌪   cloud, weather, tornado, whirlwind
🌩   cloud, weather, lightning, cloud with lightning
🌨   cloud, weather, cold, snow, cloud with snow
⛅   cloud, weather, sun, cloudy
⛈   cloud, rain, thunder, cloud with lightning and rain, thunderstorm
☁   cloud, weather
🌂   rain, umbrella, closed umbrella
⛱   rain, sun, umbrella, umbrella on ground
☔   rain, weather, umbrella, drop, umbrella with rain drops
☂   rain, umbrella
🌡   weather, thermometer
🌀   weather, cyclone, dizzy, twister, typhoon
❄   weather, cold, snow, snowflake
🌇   sun, building, dusk, sunset
🌆   sun, building, dusk, sunset, city, evening
🌄   sun, morning, sunrise, mountain, sunrise over mountains
🌉   night, bridge, bridge at night
🌯   mexican, burrito, wrap
🌮   mexican, taco
🌭   hot dog, frankfurter, hotdog, sausage
🌁   fog, foggy
🏔   cold, snow, mountain, snow-capped mountain
🧣   cold, scarf, neck, bundle up
🧥   cold, bundle up, coat, jacket, brr
⛄   cold, snow, snowman, snowman without snow
☃   cold, snow, snowman
🎿   snow, sport, ski, skis
🏂   snow, sport, ski, snowboard, snowboarder
⛷   snow, ski, skier
🛷   snow, sled, sledge, sleigh, luge, toboggan
💮   flower, white flower
🥀   flower, wilted, dying
📈   growth, chart, data, graph, up and to the right, trend, upward, chart increasing
🌶   hot, hot pepper, pepper
🔥   hot, tool, fire, burn, flame, lit, litaf, lit af
🥥   palm, coconut, piña colada
🌲   tree, forest, christmas tree, evergreen, pine tree, evergreen tree
🎄   tree, celebration, christmas, Christmas, Christmas tree
🌰   chestnut, almond
🏠   building, country home, home, house, ranch, settle down, simple home, suburban, suburbia, where the heart is
🏤   building, post, post office, European
🏥   building, doctor, hospital, medicine
🏫   building, school
🏨   building, hotel
🏩   building, hotel, love hotel
🏬   building, store, department, department store
🏭   building, factory
🏰   building, European, castle
🏙   city, cityscape
🧗‍♀️   mountain, woman climbing, climber, rock climber, climbing
🧗‍♂️   mountain, climber, rock climber, climbing, man climbing
⛰   mountain
🚵‍♀   mountain, bicycle, bicyclist, bike, cyclist, riding, sport, woman mountain biking
🚠   mountain, cable, gondola, ski lift, mountain cableway
🚵   mountain, bicycle, bicyclist, bike, cyclist, riding, sport, person mountain biking, man mountain biking
🚞   mountain, car, trip, railway, mountain railway
🌏   earth, globe, world, globe showing Asia-Australia, Asia, Australia
🌎   earth, globe, world, globe showing Americas, Americas
🌍   earth, globe, world, europe, globe showing Europe-Africa, Africa, Europe
🌐   earth, globe, world, internet, worldwide web, meridians, globe with meridians
🗺   world, map, world map
🎑   moon, celebration, moon viewing ceremony, ceremony
🎇   sparkle, boom, celebration, fireworks, sparkler
❇   sparkle
🏆   win, sport, prize, slay, trophy, winning, victory, champs, champion
🔆   bright, light, brightness, bright button
☪   ramadan, religion, islam, Muslim, star and crescent
⏸   double, pause, pause button
➿   double, curl, loop, double curly loop
⏰   alarm, clock, hours, hrs, late, time, waiting, alarm clock
⏱   clock, time, stopwatch
⏲   clock, timer, timer clock
⌚   clock, time, watch
🕰   clock, time, mantelpiece clock
⏳   hours, waiting, timer, hourglass, yolo, sand, hourglass with flowing sand
⌛   time, timer, hourglass, sand
🎆   yolo, entertainment, boom, celebration, fireworks
🙍   gesture, upset, disgruntled, frown, person frowning, woman frowning
🙎   gesture, pouting, person pouting, woman pouting
🙇   gesture, meditation, bow, apology, meditate, person bowing, man bowing, sorry
🙎‍♂   gesture, pouting, man pouting
🙍‍♂   gesture, upset, disgruntled, frown, man frowning
🙇‍♀   gesture, meditation, bow, apology, meditate, sorry, woman bowing
🧖‍♂️   man in steamy room, sauna, steam room, steamy, relax
🧖‍♀️   sauna, steam room, steamy, relax, woman in steamy room
🧘‍♀️   relax, woman in lotus position, meditation, yoga, legs crossed, cross legged, yogi
🧘‍♂️   relax, meditation, yoga, legs crossed, cross legged, yogi, man in lotus position
🚴‍♀   bicycle, bicyclist, bike, cyclist, riding, sport, woman biking, biking
🚳   bicycle, bike, forbidden, no, prohibited, not, no bicycles
🚲   bicycle, bike, cyclist, bike gang, cycle, cycling, ride, spin class, spinning
🚴   bicycle, bicyclist, bike, cyclist, riding, sport, biking, person biking, man biking
⛳   sport, golf, hole, flag in hole
📯   post, horn, postal horn, postal
🏚   home, house, derelict house, derelict
🏘   house
💉   doctor, medicine, tool, flu shot, needle, shot, sick, syringe, vaccination, vaccinatoins
💊   doctor, medicine, sick, drugs, pill, pills, medicated, vitamin
⚕   medicine, aesculapius, staff
📔   school, book, education, cover, decorated, notebook, writing, notebook with decorative cover
🚌   school, bus, vehicle
🛎   hotel, bell, bellhop bell, bellhop
🛏   hotel, sleep, bed
🛌   hotel, sleep, person in bed
🛋   hotel, couch and lamp, couch, lamp
🔦   light, tool, electric, flashlight, torch
🚥   light, signal, traffic, intersection, stop light, stoplight, horizontal traffic light
🚦   light, signal, traffic, intersection, stop light, stoplight, drove, vertical traffic light
🕯   light, candle
🏷   label
🔧   tool, home improvement, wrench, spanner
✂   tool, paper, cut, scissors, cutting
⚗   tool, alembic, chemistry
⚓   tool, anchor, ship
⚒   tool, hammer, pick, hammer and pick
⚙   tool, gear
⛏   tool, hammer, pick, mining
🛠   tool, wrench, spanner, hammer, hammer and wrench
🔭   tool, contact, science, e.t., telescope
🔬   tool, science, lab, experiment, microscope
🔫   tool, weapon, gun, pistol, revolver, handgun
🔩   tool, home improvement, nut, bolt, nut and bolt
🔨   tool, home improvement, hammer, repairs
🔱   tool, anchor, ship, poseidon, trident, trident emblem, emblem
🗜   tool, clamp, compress, vice
⚔   weapon, crossed, crossed swords, swords
🛡   weapon, shield
🏋   person lifting weights, man lifting weights, lifter, weightlifter, workout, weight
🚡   car, aerial, cable, gondola, ropeway, tramway, aerial tramway
🚃   car, electric, travel, tram, trolleybus, railway, train, railway car
🚋   car, tram, trolleybus, bus, trolley, tram car
🚕   car, vehicle, drive, cab, cabbie, taxi, uber, yellow taxi
🚗   car, vehicle, automobile, driving
🚙   car, vehicle, drive, sport utility vehicle, recreational, sportutility
🚘   car, vehicle, drove, cars, oncoming, automobile, oncoming automobile
🚛   car, vehicle, drive, truck, lorry, move, semi, articulated lorry
🚚   car, delivery, vehicle, drive, truck, delivery truck
🏛   classical building, classical
🏞   national park, park
🏟   stadium
✝   religion, cross, christ, christian, Christian, latin cross
⛩   religion, shinto shrine, shinto, shrine
☸   religion, wheel, buddhist, dharma, wheel of dharma, Buddhist
☯   religion, difficult, lives, neither, tao, taoist, total, yang, yin, yin yang, yinyang
☦   religion, cross, christian, Christian, orthodox cross
🛐   religion, pray, place of worship, worship
🕌   religion, islam, Muslim, mosque, masjid
🕍   religion, Jewish, judaism, synagogue, Jew, temple
🕎   religion, judaism, menorah, hanukkah, jewish, candelabrum, candlestick
🕋   religion, islam, Muslim, hajj, umrah, kaaba
🕉   religion, om, Hindu
🤲   prayer, palms up together, cupped hands, dua, pray, wish
📼   old school, tape, vhs, video, videocassette
📺   video, television, tv
📻   video, entertainment, radio, tbt
📸   video, camera, camera with flash, flash
📹   video, tbt, camera, camcorder, video camera
📷   video, tbt, camera, instagram, photo, selfie, snap, trip
🤳   camera, phone, selfie
📡   antenna, aliens, contact, dish, satellite, science, satellite antenna
📵   cell, mobile, phone, telephone, forbidden, no, prohibited, not, no mobile phones
📳   cell, communication, mobile, phone, telephone, vibration mode, mode, vibration
📱   cell, communication, mobile, phone, telephone, mobile phone
📴   cell, mobile, phone, telephone, off, mobile phone off
📰   communication, news, newspaper, paper
📫   communication, mail, mailbox, postbox, closed, closed mailbox with raised flag
📠   communication, fax, fax machine
📞   communication, phone, telephone, voip, telephone receiver, receiver
📟   communication, pager
📝   communication, media, memo, notes, pencil
☎   phone, telephone
🛄   trip, plane, travel, checked, arrived, baggage, bags, case, journey, packing, ready, baggage claim, claim
⛔   forbidden, no, prohibited, fail, do not pass, traffic, no entry
🚫   forbidden, no, prohibited, not, smoke, entry
🚭   forbidden, no, prohibited, not, smoke, smoking, no smoking
🚯   forbidden, no, prohibited, not, litter, no littering
🚷   forbidden, no, prohibited, not, pedestrian, no pedestrians
📨   receive, mail, delivering, e-mail, email, envelope, incoming, letter, sent, incoming envelope
🗞   news, newspaper, paper, rolled-up newspaper, rolled
📜   paper, scroll
📮   mail, mailbox, postbox
📪   mail, mailbox, postbox, lowered, closed, closed mailbox with lowered flag
📧   mail, e-mail, email, letter
📕   closed, book, education, closed book
🔒   closed, lock, locked, private
🔐   closed, lock, locked, key, bike lock, locked with key, secure
✉   e-mail, email, envelope, letter
🛸   aliens, flying saucer, UFO, extra, extra terrestrial
📋   notes, clipboard, to do list
✏   pencil
📛   badge, name, name badge
📒   notebook, ledger
📓   notebook
📌   collage, pin, pushpin
📍   pin, pushpin, location, map, round pushpin
🗾   map, Japan, map of Japan
📆   calendar, tear-off calendar
📅   calendar, date
📄   document, page, page facing up
📃   document, page, page with curl, curl
➰   curl, curly loop, loop
📁   file, folder, file folder
🗄   file, file cabinet, cabinet, filing
☮   peace, peaceful, healing, peace symbol
🎹   keyboard, music, instrument, piano, musical keyboard
🔌   electric, electricity, plug, electric plug
🅿   button, parking, p, P button
🅰   button, blood type, a
🅱   button, blood type, B button, b
🆎   button, blood type, AB button, ab
🆕   button, new, NEW button
🆔   button, ID button, id, identity
🆖   button, ng, NG button
🆑   button, CL button, cl
🆓   button, free, FREE button
🆒   button, cool, COOL button
🆚   button, versus, VS button, vs
🔑   lock, unlock, key, keys, major key, password
🔋   battery
🎸   music, instrument, guitar, strat, stratocaster
🎻   music, instrument, stradivarius, violin
🎺   music, instrument, trumpet
🎷   music, instrument, sax, saxophone
🎙   music, mic, microphone, studio microphone, studio
🎛   music, control knobs, control, knobs
🎚   music, level slider, level, slider
🥁   music, drum, drumsticks
✈   fly, airplane, flying, jet, plane, travel
💺   chair, seat
#⃣   pound, hash, hashtag
🤬   mad, face with symbols on mouth, swearing, cursing, cussing, censor, pissed
🤯   explode, exploding head, shocked, mind blown, mindblown, no way
💔   sad, emotion, break, broken, crushed, lonely, broken heart
🎀   ribbon, celebration
🎗   ribbon, celebration, reminder ribbon, reminder
🤮   sick, face vomiting, vomit, throw up, spew
⚰   dead, death, coffin, vampire
⚱   death, funeral, urn, funeral urn, ashes
🎫   admission, ticket, stub
🎟   admission, ticket, admission tickets
🎪   circus, tent, circus tent
⛺   tent, camping
🎡   amusement park, ferris, ferris wheel, amusementpark, wheel
🎢   amusement park, amusementpark, coaster, roller coaster, roller
🎏   streamer, carp streamer, carp
🎖   celebration, military medal, medal, military, award
🤶   celebration, santa, Christmas, claus, mother, Mrs.
🤭   surprise, secret, face with hand over mouth, whoops, shock, sudden realization, giggle, giggling, oops
🤨   surprise, hmm, face with raised eyebrow, distrust, skeptic, disapproval, disbelief, mild
surprise, scepticism, skeptical, what, colbert emoji
🛂   control, passport, passport control
🥈   medal, second, silver
🥉   medal, bronze, third
🥇   medal, first, gold
🏅   medal, award, gold, winner, sports medal
🧢   cap, billed cap, baseball cap, dad cap, dad hat, bent hat
✳   eight-spoked asterisk, asterisk
🛬   airplane, plane, aeroplane, airplane arrival, arrivals, arriving, landing
🛫   airplane, plane, aeroplane, airplane departure, check-in, departure, departures
🛩   airplane, plane, aeroplane, small airplane
🚢   travel, ship, boat, passenger, titanic
🚤   travel, boat, lake, billionaire, luxury, millionaire, speedboat, summer
🚁   travel, vehicle, helicopter, roflcopter, copter
🚂   travel, steam, railway, train, caboose, engine, locomotive, trains
🚇   travel, metro, subway
🤜   fist, rightwards
🤛   fist, leftwards
✅   check, checked, complete, completed, done, fixed, checkmark, tick
✔   check, checked, done, checkmark, tick, heavy check mark
✖   multiplication, multiply, x
❎   multiplication, multiply, x, cross mark button
❌   multiplication, multiply, x
🧜‍♂️   merman, Triton
🧜   merman, merperson, mermaid, merwoman
🏋‍♀   woman lifting weights
🥟   dumpling, empanada, gyōza, jiaozi, pierogi, potsticker
🥊   boxing, glove
🥋   judo, karate, martial arts, taekwondo, uniform
🥅   goal, net
🛢   drum, oil drum, oil
🥨   pretzel, twisted, convoluted
🥫   canned food, can
🥦   broccoli, wild cabbage
🤫   quiet, shushing face, shush, shh, be quiet
🤺   fencer, fencing, sword
🤴   prince, royal, royalty
🚸   pedestrian, child, traffic, crossing, children crossing
⚠   warning, caution
🛳   ship, passenger, passenger ship
⚛   atheist, atom, atom symbol
🧜‍♀️   mermaid, merwoman
🧑   gender-neutral, adult
🧔   bearded person, beard, bewhiskered, bearded
🧕   woman with headscarf, headscarf, hijab, mantilla, tichel, bandana, head
kerchief
🧠   brain, intelligent, smart
🧦   socks, stocking
🏕   camping
⛴   boat, passenger, ferry
⛵   boat, sailboat, sailing, yacht
🛥   boat, motor boat, motorboat
🛶   boat, canoe
🕳   hole
⛽   fuel, gas, gasoline, pump, gas station, fuel pump
🦕   sauropod, brachiosaurus, brontosaurus, diplodocus, dinosaur
🦖   dinosaur, T-Rex, Tyrannosaurus Rex, t rex
🦔   hedgehog, spiny
🦓   zebra, stripe
☣   biohazard, sign
☢   sign, radioactive
🚊   bart, tram, trolleybus
🚉   bart, railway, train, station
🚈   bart, railway, arrived, light rail, monorail
🚎   tram, trolleybus, bus, trolley
🚍   bus, cars, oncoming, oncoming bus
🚐   bus, vehicle, drive, minibus, van
🚑   vehicle, emergency, ambulance
🚝   vehicle, monorail
🚜   vehicle, tractor
🛤   railway, train, railway track
🚆   railway, train, arrived, choo choo
🚟   railway, suspension railway, suspension
🛣   motorway, highway, road
🛵   scooter, motor
🛅   baggage, case, left luggage, luggage, locker
🛃   packing, customs
🛀   bath, bathtub, tub, person taking bath
🛁   bath, bathtub
♿   wheelchair, wheelchair symbol, access, handicap
♻   recycle, recycling symbol
⛓   chains, chain
🥠   fortune cookie, prophecy
🚖   drove, cars, oncoming, cab, cabbie, taxi, uber, yellow taxi, hail a cab, yellow cab, oncoming taxi
🚪   back door, closet, door, front door
🚬   smoking, cigarette
🚮   litter, litter in bin sign, litterbin
🚻   lavatory, restroom, WC
🚽   bathroom, toilet
🚒   engine, fire, truck, fire engine
🕸   spider, spider web, web
🕵‍♀   detective
🦒   giraffe, spots
🔤   abc, alphabet, input, latin, letters, input latin letters
🔣   input, input symbols, 〒♪&%
🔡   input, latin, letters, abcd, lowercase, input latin lowercase
🔠   input, latin, letters, input latin uppercase, ABCD, uppercase
🔅   brightness, dim, dim button, low
🔟   keycap 10, keycap10
®   registered
©   copyright
🗽   statue, liberty, ny, nyc, new york, Statue of Liberty
🗼   tokyo, tower, Tokyo tower, Tokyo
🗑   wastebasket
